dashboard=http://127.0.0.1:8766
EURUSD side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.09, gap 0.83, validation accuracy 15.3%, precision 11.3%, models 6, rows 214; RSI 66.8, ADX 37.1, ATR 2.7 pips, return_3 0.032%, volatility ratio 0.99; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.79 reason=AI provisional sell: no strict validation-qualified models; probability 0.79 vs 0.10, gap 0.69, validation accuracy 23.8%, precision 14.9%, models 6, rows 214; RSI 64.7, ADX 23.2, ATR 3.7 pips, return_3 0.027%, volatility ratio 0.96; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.83 reason=AI provisional sell: no strict validation-qualified models; probability 0.83 vs 0.08, gap 0.75, validation accuracy 38.6%, precision 39.8%, models 6, rows 214; RSI 56.1, ADX 13.8, ATR 1.8 pips, return_3 0.001%, volatility ratio 0.70; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.15 reason=AI ensemble sell: probability 0.15 vs 0.00, gap 0.15, validation accuracy 63.9%, precision 100.0%, models 2, rows 214; RSI 41.4, ADX 20.5, ATR 2.2 pips, return_3 -0.026%, volatility ratio 0.88; probability below 0.68
AUDUSD side=hold confidence=0.95 reason=AI provisional sell: no strict validation-qualified models; probability 0.95 vs 0.02, gap 0.93, validation accuracy 36.5%, precision 14.6%, models 6, rows 214; RSI 59.0, ADX 27.1, ATR 2.3 pips, return_3 0.051%, volatility ratio 0.74; provisional validation accuracy below 0.45
USDCAD side=hold confidence=0.03 reason=AI ensemble sell: probability 0.03 vs 0.00, gap 0.03, validation accuracy 67.4%, precision 96.6%, models 2, rows 211; RSI 33.4, ADX 45.8, ATR 2.5 pips, return_3 -0.008%, volatility ratio 0.68; probability below 0.68
EURUSD side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.08, gap 0.84, validation accuracy 15.3%, precision 11.3%, models 6, rows 214; RSI 62.1, ADX 37.1, ATR 2.7 pips, return_3 0.010%, volatility ratio 0.88; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.68 reason=AI provisional sell: no strict validation-qualified models; probability 0.68 vs 0.23, gap 0.44, validation accuracy 23.8%, precision 14.9%, models 6, rows 214; RSI 59.6, ADX 23.3, ATR 3.8 pips, return_3 0.004%, volatility ratio 0.88; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.89 reason=AI provisional sell: no strict validation-qualified models; probability 0.89 vs 0.06, gap 0.83, validation accuracy 38.6%, precision 39.8%, models 6, rows 214; RSI 63.0, ADX 13.8, ATR 1.9 pips, return_3 0.008%, volatility ratio 0.66; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.17 reason=AI ensemble sell: probability 0.17 vs 0.00, gap 0.17, validation accuracy 63.0%, precision 100.0%, models 2, rows 214; RSI 47.0, ADX 20.7, ATR 2.3 pips, return_3 -0.003%, volatility ratio 0.76; probability below 0.68
AUDUSD side=hold confidence=0.92 reason=AI provisional sell: no strict validation-qualified models; probability 0.92 vs 0.04, gap 0.88, validation accuracy 37.4%, precision 17.3%, models 6, rows 214; RSI 54.3, ADX 27.2, ATR 2.4 pips, return_3 0.026%, volatility ratio 0.70; provisional validation accuracy below 0.45
USDCAD side=hold confidence=0.03 reason=AI ensemble sell: probability 0.03 vs 0.00, gap 0.03, validation accuracy 68.3%, precision 96.6%, models 2, rows 211; RSI 38.8, ADX 45.8, ATR 2.5 pips, return_3 0.004%, volatility ratio 0.66; probability below 0.68
EURUSD side=hold confidence=0.94 reason=AI provisional sell: no strict validation-qualified models; probability 0.94 vs 0.06, gap 0.88, validation accuracy 15.3%, precision 11.3%, models 6, rows 214; RSI 63.7, ADX 37.1, ATR 2.7 pips, return_3 0.016%, volatility ratio 0.90; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.74 reason=AI provisional sell: no strict validation-qualified models; probability 0.74 vs 0.18, gap 0.56, validation accuracy 23.8%, precision 14.9%, models 6, rows 214; RSI 62.1, ADX 23.3, ATR 3.8 pips, return_3 0.014%, volatility ratio 0.90; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.85 reason=AI provisional sell: no strict validation-qualified models; probability 0.85 vs 0.11, gap 0.73, validation accuracy 38.6%, precision 39.8%, models 6, rows 214; RSI 58.2, ADX 13.8, ATR 1.9 pips, return_3 0.002%, volatility ratio 0.67; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.11 reason=AI ensemble sell: probability 0.11 vs 0.00, gap 0.11, validation accuracy 63.9%, precision 100.0%, models 2, rows 214; RSI 44.5, ADX 20.7, ATR 2.3 pips, return_3 -0.013%, volatility ratio 0.80; probability below 0.68
AUDUSD side=hold confidence=0.92 reason=AI provisional sell: no strict validation-qualified models; probability 0.92 vs 0.04, gap 0.87, validation accuracy 36.5%, precision 14.6%, models 6, rows 214; RSI 56.3, ADX 27.2, ATR 2.4 pips, return_3 0.035%, volatility ratio 0.70; provisional validation accuracy below 0.45
USDCAD side=hold confidence=0.05 reason=AI ensemble sell: probability 0.05 vs 0.00, gap 0.05, validation accuracy 68.3%, precision 96.6%, models 2, rows 211; RSI 42.9, ADX 44.6, ATR 2.6 pips, return_3 0.011%, volatility ratio 0.70; probability below 0.68
EURUSD side=hold confidence=0.95 reason=AI provisional sell: no strict validation-qualified models; probability 0.95 vs 0.04, gap 0.91, validation accuracy 15.3%, precision 11.3%, models 6, rows 214; RSI 63.9, ADX 37.1, ATR 2.7 pips, return_3 0.017%, volatility ratio 0.91; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.75 reason=AI provisional sell: no strict validation-qualified models; probability 0.75 vs 0.19, gap 0.56, validation accuracy 23.8%, precision 14.9%, models 6, rows 214; RSI 61.9, ADX 23.3, ATR 3.8 pips, return_3 0.013%, volatility ratio 0.90; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.86 reason=AI provisional sell: no strict validation-qualified models; probability 0.86 vs 0.12, gap 0.74, validation accuracy 38.6%, precision 39.8%, models 6, rows 214; RSI 60.2, ADX 13.8, ATR 1.9 pips, return_3 0.004%, volatility ratio 0.66; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.10 reason=AI ensemble sell: probability 0.10 vs 0.00, gap 0.10, validation accuracy 63.0%, precision 100.0%, models 2, rows 214; RSI 46.0, ADX 20.7, ATR 2.3 pips, return_3 -0.006%, volatility ratio 0.77; probability below 0.68
AUDUSD side=hold confidence=0.91 reason=AI provisional sell: no strict validation-qualified models; probability 0.91 vs 0.05, gap 0.86, validation accuracy 36.5%, precision 14.6%, models 6, rows 214; RSI 58.1, ADX 27.2, ATR 2.4 pips, return_3 0.045%, volatility ratio 0.72; provisional validation accuracy below 0.45
USDCAD side=hold confidence=0.04 reason=AI ensemble sell: probability 0.04 vs 0.00, gap 0.04, validation accuracy 68.3%, precision 96.6%, models 2, rows 211; RSI 40.9, ADX 44.6, ATR 2.6 pips, return_3 0.007%, volatility ratio 0.68; probability below 0.68
EURUSD side=hold confidence=0.95 reason=AI provisional sell: no strict validation-qualified models; probability 0.95 vs 0.04, gap 0.91, validation accuracy 15.3%, precision 11.3%, models 6, rows 214; RSI 61.9, ADX 37.1, ATR 2.7 pips, return_3 0.009%, volatility ratio 0.88; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.71 reason=AI provisional sell: no strict validation-qualified models; probability 0.71 vs 0.27, gap 0.44, validation accuracy 23.8%, precision 14.9%, models 6, rows 214; RSI 58.9, ADX 23.3, ATR 3.8 pips, return_3 0.001%, volatility ratio 0.88; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.90 reason=AI provisional sell: no strict validation-qualified models; probability 0.90 vs 0.11, gap 0.80, validation accuracy 38.6%, precision 39.8%, models 6, rows 214; RSI 63.8, ADX 13.8, ATR 1.9 pips, return_3 0.009%, volatility ratio 0.68; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.10 reason=AI ensemble sell: probability 0.10 vs 0.00, gap 0.10, validation accuracy 63.0%, precision 100.0%, models 2, rows 214; RSI 48.1, ADX 20.7, ATR 2.3 pips, return_3 0.001%, volatility ratio 0.75; probability below 0.68
AUDUSD side=hold confidence=0.88 reason=AI provisional sell: no strict validation-qualified models; probability 0.88 vs 0.08, gap 0.80, validation accuracy 36.5%, precision 14.6%, models 6, rows 214; RSI 56.0, ADX 27.4, ATR 2.4 pips, return_3 0.034%, volatility ratio 0.70; provisional validation accuracy below 0.45
USDCAD side=hold confidence=0.05 reason=AI ensemble sell: probability 0.05 vs 0.00, gap 0.05, validation accuracy 68.3%, precision 96.6%, models 2, rows 211; RSI 46.4, ADX 44.2, ATR 2.7 pips, return_3 0.018%, volatility ratio 0.78; probability below 0.68
EURUSD side=hold confidence=0.86 reason=AI provisional sell: no strict validation-qualified models; probability 0.86 vs 0.12, gap 0.73, validation accuracy 14.8%, precision 11.4%, models 6, rows 214; RSI 62.2, ADX 37.5, ATR 2.6 pips, return_3 -0.002%, volatility ratio 0.87; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.76 reason=AI provisional sell: no strict validation-qualified models; probability 0.76 vs 0.11, gap 0.65, validation accuracy 23.8%, precision 15.9%, models 6, rows 214; RSI 55.7, ADX 23.5, ATR 3.6 pips, return_3 -0.016%, volatility ratio 0.96; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.04 reason=AI ensemble buy: probability 0.04 vs 0.00, gap 0.04, validation accuracy 60.4%, precision 100.0%, models 1, rows 211; RSI 60.1, ADX 12.9, ATR 1.8 pips, return_3 0.002%, volatility ratio 0.75; probability below 0.68
USDCHF side=hold confidence=0.11 reason=AI ensemble sell: probability 0.11 vs 0.00, gap 0.11, validation accuracy 63.9%, precision 100.0%, models 2, rows 214; RSI 46.6, ADX 20.9, ATR 2.2 pips, return_3 -0.001%, volatility ratio 0.78; probability below 0.68
AUDUSD side=hold confidence=0.03 reason=AI ensemble buy: probability 0.03 vs 0.00, gap 0.03, validation accuracy 66.7%, precision 100.0%, models 1, rows 214; RSI 55.2, ADX 28.1, ATR 2.3 pips, return_3 0.014%, volatility ratio 0.83; probability below 0.68
USDCAD side=hold confidence=0.07 reason=AI ensemble sell: probability 0.07 vs 0.00, gap 0.07, validation accuracy 71.9%, precision 80.9%, models 2, rows 211; RSI 47.2, ADX 42.2, ATR 2.6 pips, return_3 0.023%, volatility ratio 0.80; probability below 0.68
EURUSD side=hold confidence=0.88 reason=AI provisional sell: no strict validation-qualified models; probability 0.88 vs 0.10, gap 0.78, validation accuracy 14.8%, precision 11.4%, models 6, rows 214; RSI 64.7, ADX 37.5, ATR 2.7 pips, return_3 0.009%, volatility ratio 0.90; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.76 reason=AI provisional sell: no strict validation-qualified models; probability 0.76 vs 0.11, gap 0.64, validation accuracy 23.3%, precision 14.2%, models 6, rows 214; RSI 60.4, ADX 23.5, ATR 3.8 pips, return_3 0.002%, volatility ratio 1.01; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.06 reason=AI ensemble buy: probability 0.06 vs 0.00, gap 0.06, validation accuracy 60.4%, precision 100.0%, models 1, rows 211; RSI 62.6, ADX 12.9, ATR 1.9 pips, return_3 0.005%, volatility ratio 0.72; probability below 0.68
USDCHF side=hold confidence=0.10 reason=AI ensemble sell: probability 0.10 vs 0.00, gap 0.10, validation accuracy 63.9%, precision 100.0%, models 2, rows 214; RSI 43.9, ADX 20.8, ATR 2.2 pips, return_3 -0.011%, volatility ratio 0.82; probability below 0.68
AUDUSD side=hold confidence=0.08 reason=AI ensemble buy: probability 0.08 vs 0.00, gap 0.08, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 60.3, ADX 28.1, ATR 2.4 pips, return_3 0.041%, volatility ratio 0.89; probability below 0.68
USDCAD side=hold confidence=0.07 reason=AI ensemble sell: probability 0.07 vs 0.00, gap 0.07, validation accuracy 71.9%, precision 80.9%, models 2, rows 211; RSI 44.3, ADX 41.8, ATR 2.6 pips, return_3 0.017%, volatility ratio 0.82; probability below 0.68
EURUSD side=hold confidence=0.91 reason=AI provisional sell: no strict validation-qualified models; probability 0.91 vs 0.07, gap 0.84, validation accuracy 14.8%, precision 11.4%, models 6, rows 214; RSI 65.0, ADX 37.5, ATR 2.8 pips, return_3 0.010%, volatility ratio 0.90; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.75 reason=AI provisional sell: no strict validation-qualified models; probability 0.75 vs 0.15, gap 0.60, validation accuracy 23.3%, precision 14.2%, models 6, rows 214; RSI 58.8, ADX 23.5, ATR 3.8 pips, return_3 -0.004%, volatility ratio 0.98; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.05 reason=AI ensemble buy: probability 0.05 vs 0.00, gap 0.05, validation accuracy 60.4%, precision 100.0%, models 1, rows 211; RSI 63.6, ADX 13.0, ATR 1.9 pips, return_3 0.006%, volatility ratio 0.72; probability below 0.68
USDCHF side=hold confidence=0.08 reason=AI ensemble sell: probability 0.08 vs 0.00, gap 0.08, validation accuracy 62.9%, precision 100.0%, models 2, rows 214; RSI 43.0, ADX 20.8, ATR 2.3 pips, return_3 -0.015%, volatility ratio 0.84; probability below 0.68
AUDUSD side=hold confidence=0.10 reason=AI ensemble buy: probability 0.10 vs 0.00, gap 0.10, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 57.2, ADX 28.1, ATR 2.4 pips, return_3 0.024%, volatility ratio 0.84; probability below 0.68
USDCAD side=hold confidence=0.07 reason=AI ensemble sell: probability 0.07 vs 0.00, gap 0.07, validation accuracy 71.9%, precision 80.9%, models 2, rows 211; RSI 49.2, ADX 41.8, ATR 2.6 pips, return_3 0.027%, volatility ratio 0.80; probability below 0.68
EURUSD side=hold confidence=0.92 reason=AI provisional sell: no strict validation-qualified models; probability 0.92 vs 0.05, gap 0.87, validation accuracy 14.8%, precision 11.4%, models 6, rows 214; RSI 64.7, ADX 37.5, ATR 2.8 pips, return_3 0.009%, volatility ratio 0.90; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.73 reason=AI provisional sell: no strict validation-qualified models; probability 0.73 vs 0.23, gap 0.50, validation accuracy 23.8%, precision 15.9%, models 6, rows 214; RSI 56.5, ADX 23.2, ATR 3.9 pips, return_3 -0.013%, volatility ratio 0.96; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.06 reason=AI ensemble buy: probability 0.06 vs 0.00, gap 0.06, validation accuracy 60.4%, precision 100.0%, models 1, rows 211; RSI 63.6, ADX 13.3, ATR 1.9 pips, return_3 0.006%, volatility ratio 0.72; probability below 0.68
USDCHF side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 62.9%, precision 100.0%, models 2, rows 214; RSI 40.4, ADX 20.8, ATR 2.3 pips, return_3 -0.026%, volatility ratio 0.91; probability below 0.68
